X,Y,OBJECTID_1,OBJECTID,TYPE,ELEV
-71.130531618135137,42.3495653264361,1369,14446,PARKING-METER,0
-71.130626668066327,42.349660984083073,1370,14447,PARKING-METER,0
-71.130717821563806,42.349750526078132,1371,14448,PARKING-METER,0
-71.130802924716349,42.349849471894657,1372,14449,PARKING-METER,0
-71.130873438265482,42.349952341985819,1373,14450,PARKING-METER,0
-71.131263080932243,42.349868041276018,1374,14453,PARKING-METER,0
-71.131203412908988,42.349898785643504,1375,14454,PARKING-METER,0
-71.131144875065402,42.349926776921379,1376,14455,PARKING-METER,0
-71.131080899206566,42.349957149091956,1377,14456,PARKING-METER,0
-71.131020444433688,42.349986452179039,1378,14457,PARKING-METER,0
-71.130956392511493,42.350018191574762,1379,14458,PARKING-METER,0
-71.129859194498181,42.349165054395314,1380,14460,PARKING-METER,0
-71.129940956611662,42.349256326855901,1381,14461,PARKING-METER,0
-71.130028851267326,42.349347481242859,1382,14462,PARKING-METER,0
-71.13022657774485,42.349535826567219,1383,14463,PARKING-METER,0
-71.130324702663899,42.349631698719868,1384,14464,PARKING-METER,0
-71.130615586149815,42.349931578879065,1385,14465,PARKING-METER,0
-71.130590851019107,42.350187417280523,1386,14466,PARKING-METER,0
-71.130526084517925,42.350212798102994,1387,14467,PARKING-METER,0
-71.130459429902842,42.350236849396936,1388,14468,PARKING-METER,0
-71.130390194000682,42.350257310106876,1389,14469,PARKING-METER,0
-71.130319006589318,42.350274621593634,1390,14470,PARKING-METER,0
-71.130248917111359,42.350288270591378,1391,14471,PARKING-METER,0
-71.130174988081933,42.350297441766287,1392,14472,PARKING-METER,0
-71.130104140775458,42.350307009030743,1393,14473,PARKING-METER,0
-71.129957754351736,42.350314853115414,1394,14474,PARKING-METER,0
-71.129831203350491,42.350310933775965,1395,14475,PARKING-METER,0
-71.12975609899128,42.350304196398625,1396,14476,PARKING-METER,0
-71.129602778706442,42.350289415958606,1397,14477,PARKING-METER,0
-71.129545538750079,42.350284607685516,1398,14478,PARKING-METER,0
-71.131124055653288,42.350136930240339,1399,14497,PARKING-METER,0
-71.131178945625734,42.350109919391663,1400,14498,PARKING-METER,0
-71.131230253325981,42.350085710430633,1401,14499,PARKING-METER,0
-71.131289452153197,42.350059071662336,1402,14500,PARKING-METER,0
-71.131351701561982,42.350031918675469,1403,14501,PARKING-METER,0
-71.131408979885592,42.350003040972823,1404,14502,PARKING-METER,0
-71.13147176197198,42.349973601994968,1405,14503,PARKING-METER,0
-71.131531462264235,42.349943766883904,1406,14504,PARKING-METER,0
-71.131596696211332,42.349914279876536,1407,14505,PARKING-METER,0
-71.131656428714194,42.349885354995578,1408,14506,PARKING-METER,0
-71.131757751491705,42.349835140010207,1409,14507,PARKING-METER,0
-71.131824777524045,42.349804252361459,1410,14508,PARKING-METER,0
-71.130043056488446,42.350478705532176,1411,14510,PARKING-METER,0
-71.13010434839002,42.350476606972492,1412,14511,PARKING-METER,0
-71.130178939707591,42.350468788405536,1413,14512,PARKING-METER,0
-71.130258371596241,42.350459055135929,1414,14513,PARKING-METER,0
-71.130323054320058,42.350448697311315,1415,14514,PARKING-METER,0
-71.130411283933299,42.350427413607207,1416,14515,PARKING-METER,0
-71.130457538261851,42.35041650221693,1417,14516,PARKING-METER,0
-71.130525579414083,42.350396975728636,1418,14517,PARKING-METER,0
-71.130656563720152,42.350352559442896,1419,14518,PARKING-METER,0
-71.130719506871699,42.350327668750957,1420,14519,PARKING-METER,0
